Total	159994128
the	6490094
and	5568400
	4806911
a	4100368
I	3803573
to	3524155
was	2472703
of	2403531
is	2166450
in	1780664
for	1773728
it	1552004
with	1356012
The	1296959
that	1198306
my	1166923
you	1161777
on	1058726
but	1012524
have	1010490
this	937044
are	880710
had	870075
place	761367
they	759653
were	746884
at	722621
so	715844
good	709690
we	685410
great	662377
food	632870
not	627032
as	626048
be	615069
very	592891
here	550051
all	515639
me	513570
out	495025
like	489034
time	459017
get	445853
from	437028
there	430206
We	424486
just	419987
one	406686
their	394999
service	392427
or	387549
our	372438
really	372174
back	371677
up	369806
an	366754
go	363028
about	358847
its	349010
if	348631
can	343955
will	341575
which	341516
They	341179
your	340323
some	336906
would	326457
been	323327
when	314430
It	312040
This	300530
also	295531
more	294307
best	279678
always	276440
nice	276167
by	272723
what	270588
only	265762
has	260309
My	255880
love	252935
Ive	251764
well	245905
too	245367
friendly	240046
little	238843
got	238683
other	238304
Im	237811
them	236704
us	233162
because	226047
than	218111
staff	217225
dont	212601
even	211708
try	209672
delicious	209651
do	209204
amazing	198562
definitely	197836
Vegas	193301
restaurant	188841
much	187424
menu	186678
he	180807
Its	178616
first	177290
made	175726
did	175225
come	175191
no	175102
people	174644
ordered	172555
make	172343
am	169888
pretty	168851
could	165053
recommend	162735
came	160325
experience	160145
right	159222
order	159127
went	158745
didnt	158229
know	158027
night	155817
Great	155253
chicken	155237
going	155212
over	153457
never	152329
fresh	151380
If	149465
bar	149108
after	148019
how	147992
way	145320
off	144410
who	144187
again	144072
day	144052
few	143361
she	142293
ever	141700
want	141464
sure	140934
wait	140294
new	139824
see	138261
say	137390
around	136526
better	135056
two	134630
any	134566
her	133512
awesome	133474
think	133471
every	133190
eat	131615
favorite	130204
before	127550
find	126558
most	125582
bit	125253
lunch	124356
take	124125
cheese	122777
area	122539
pizza	122460
sauce	121817
next	121298
everything	120997
down	120848
room	120661
many	118707
You	118327
i	117610
happy	116524
still	116164
times	116072
cant	113493
lot	113378
since	113105
And	112894
price	111965
work	111864
dinner	111450
his	110922
while	110651
worth	110397
into	110218
meal	110067
A	109562
then	109406
small	108594
feel	106925
location	106036
excellent	106002
